response_id,age,household_size,income,living_area,employment,education,primary_shopper,frequency,store_preference,lemon_watermenlon,loyalty_cereal,loyaty_stock,loyalty_discount,loyalty_quality,proximity_home,ease_parking,delivery,finding_items,checkout_speed,brand_loyalty,product_quality,price,product available,sustainable,payment_credit,payment_digital,payment_cash,payment_store,paymeny_afterpay,store_distance,store_layout,store_quality,store_discount,scale_distance,scale_quality,scale_promo,scale_member,scale_envir
R_7frFyKt3dsjFGnj,25 - 34,2,100000,Suburban,Employed full-time,"Some college, no degree",Yes,More than once a week,"Target,Whole Foods,Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,3,5,2,4,4,2,1,3,5,2,1,3,4,5,4,1,3,2,5,4,4,3,2,2
R_5okkKam3qIc7N9g,25 - 34,2,79893,Suburban,Employed full-time,"Some college, no degree",Shared responsibility,Once a week,"Walmart,Target,Trader Joe's,Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,1,5,4,2,3,4,1,2,3,5,1,2,3,5,4,3,1,2,4,5,5,4,2,1,1
R_6FK54hmCSMZtAZP,25 - 34,2,100000,Suburban,Employed full-time,Master's degree or above,Yes,More than once a week,"Walmart,Costco,Other, please specify:",Buy both items at Costco to save money,Leave and wait until your preferred brand is back in stock,Shop at your usual store,Switch to the lower-quality steak to save money,1,4,5,3,2,4,2,1,3,5,1,4,2,3,5,1,3,5,4,2,3,3,4,2,1
R_6xppu1261ytLFaF,25 - 34,2,45107,Suburban,Student,Master's degree or above,Shared responsibility,Once a week,"Trader Joe's,Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,2,5,3,4,4,1,2,3,5,1,3,2,4,5,1,3,5,2,4,4,4,4,4,3
R_5h38wyZmgfJhNux,35 - 44,3,100000,Suburban,Employed part-time,"Some college, no degree",Yes,Once a week,"Costco,Other, please specify:",Buy both items at Costco to save money,Leave and wait until your preferred brand is back in stock,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,5,4,2,3,3,1,2,5,4,1,3,2,4,5,2,1,4,5,3,4,4,4,3,2
R_1LBY0Slp6hV2bAW,35 - 44,4,91859,Suburban,Employed full-time,Bachelor's degree,Yes,Once a week,"Walmart,Other, please specify:",Buy both items at Costco to save money,Leave and wait until your preferred brand is back in stock,Shop at your usual store,Switch to the lower-quality steak to save money,1,5,4,2,3,4,2,1,3,5,1,4,2,3,5,1,2,3,4,5,4,3,2,1,1
R_7fmfm6S0TZXBw9X,25 - 34,3,100000,Rural,Employed full-time,Associate degree,Shared responsibility,Once a week,"Other, please specify:",Buy both items at Costco to save money,Go to the other store to buy your preferred brand,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,4,5,3,2,5,2,1,3,4,1,3,2,4,5,2,1,5,3,4,5,5,4,5,1
R_1XIuHnbEdqPyv85,35 - 44,5 or more,50034,Urban/City,Employed part-time,"Some college, no degree",Shared responsibility,More than once a week,"Walmart,Other, please specify:",Buy both items at Walmart for convenience,Go to the other store to buy your preferred brand,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,4,5,3,2,4,2,1,3,5,1,3,2,4,5,1,2,5,3,4,3,3,2,2,1
R_771GahsmZrRqH1z,45 - 54,2,55060,Urban/City,Employed full-time,"Some college, no degree",Yes,More than once a week,"Walmart,Other, please specify:",Buy both items at Costco to save money,Go to the other store to buy your preferred brand,Drive the extra 20 minutes to save $10,Switch to the lower-quality steak to save money,2,5,1,3,4,5,1,2,4,3,1,2,4,3,5,2,1,4,5,3,4,2,3,2,2
R_7vajS9dnywnlmH7,25 - 34,3,100000,Suburban,Employed full-time,Master's degree or above,Yes,Once every two weeks,"Walmart,Costco",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,2,5,1,3,4,5,3,1,2,4,1,2,3,5,4,2,3,1,4,5,4,4,3,2,1
R_1wdvz6nW2yReNnr,25 - 34,3,61092,Suburban,Employed full-time,Bachelor's degree,Yes,Once a week,"Walmart,Costco,Target",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,1,4,5,3,2,4,2,1,3,5,1,2,3,4,5,2,1,5,4,3,4,3,3,3,4
R_75z8HVb39ITptap,25 - 34,2,41488,Rural,Employed part-time,"Some college, no degree",Shared responsibility,More than once a week,"Other, please specify:",Buy both items at Costco to save money,Go to the other store to buy your preferred brand,Drive the extra 20 minutes to save $10,Switch to the lower-quality steak to save money,1,4,5,3,2,5,2,1,4,3,1,2,3,4,5,1,3,4,2,5,3,5,2,2,3
R_6P9bSF9HezkpIfD,18 - 24,4,67360,Urban/City,Employed part-time,Associate degree,Yes,Once every two weeks,"Walmart,Target,Trader Joe's,Pick 'n Save / Metro market",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,2,1,5,3,4,5,3,1,2,4,1,4,2,3,5,2,1,5,3,4,4,4,3,2,1
R_1sMTe7ogt2O3lxT,25 - 34,1,50034,Urban/City,Unemployed,Master's degree or above,Yes,Once a week,"Target,Trader Joe's,Other, please specify:",Buy both items at Walmart for convenience,Buy a different brand at your usual store,Drive the extra 20 minutes to save $10,Continue buying the high-quality steak at $20 per pound,1,5,4,3,2,5,4,1,3,2,1,2,3,4,5,4,1,2,5,3,5,4,4,2,1
R_6oECc6FlEk28adL,35 - 44,3,80466,Suburban,Employed part-time,"Some college, no degree",Yes,More than once a week,"Walmart,Costco,Other, please specify:",Buy lemons at Walmart and watermelons at Costco,Go to the other store to buy your preferred brand,Shop at your usual store,Switch to the lower-quality steak to save money,1,2,5,3,4,3,2,1,4,5,1,2,3,4,5,1,2,4,3,5,4,4,4,3,1
R_61MiHOHgf64KQ3b,18 - 24,4,100000,Suburban,Employed part-time,Associate degree,Yes,Once every two weeks,"Target,Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,5,4,1,2,3,5,1,2,3,4,2,1,3,4,5,1,5,4,3,2,3,4,4,3,1
R_6Y5Pq3v2meYwppN,35 - 44,5 or more,25000,Urban/City,Unemployed,High school diploma or GED,No,Less than once a month,"Other, please specify:",Buy both items at Walmart for convenience,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,2,4,5,1,3,4,2,3,1,5,1,4,2,3,5,3,1,5,2,4,5,5,4,2,3
R_6qdVo26APxbW5Lc,18 - 24,3,29826,Urban/City,Employed part-time,Bachelor's degree,Yes,More than once a week,"Walmart,Costco,Target,Trader Joe's,Pick 'n Save / Metro market",Buy both items at Costco to save money,Buy a different brand at your usual store,Drive the extra 20 minutes to save $10,Continue buying the high-quality steak at $20 per pound,1,3,5,2,4,2,3,1,4,5,2,5,1,3,4,1,2,4,3,5,4,3,4,3,3
R_5EfGKIQCT9tGSYe,18 - 24,2,25000,Urban/City,Employed part-time,Bachelor's degree,Shared responsibility,More than once a week,"Walmart,Costco,Whole Foods,Trader Joe's,Pick 'n Save / Metro market",Buy both items at Costco to save money,Buy a different brand at your usual store,Drive the extra 20 minutes to save $10,Switch to the lower-quality steak to save money,2,1,5,3,4,4,2,1,3,5,1,2,3,4,5,2,1,3,4,5,3,5,2,2,1
R_7qyqdfxkZuBf5Ym,18 - 24,2,25000,Urban/City,Employed part-time,Bachelor's degree,Shared responsibility,More than once a week,"Walmart,Costco,Target,Whole Foods,Trader Joe's,Pick 'n Save / Metro market",Buy both items at Costco to save money,Go to the other store to buy your preferred brand,Drive the extra 20 minutes to save $10,Switch to the lower-quality steak to save money,2,1,3,5,4,4,3,1,2,5,NA,NA,NA,NA,NA,2,1,4,3,5,3,5,2,2,1
R_3P7itrmlbaK84bb,25 - 34,5 or more,100000,Urban/City,Employed part-time,Master's degree or above,No,More than once a week,"Walmart,Costco,Target,Whole Foods,Trader Joe's,Other, please specify:",Buy lemons at Walmart and watermelons at Costco,Buy a different brand at your usual store,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,4,5,2,3,3,1,2,5,4,2,1,3,4,5,3,2,4,1,5,4,4,1,1,3
R_6cLuePXt8N8OuIx,25 - 34,2,50075,Urban/City,Unemployed,Master's degree or above,Yes,More than once a week,"Costco,Target,Whole Foods",Buy lemons at Walmart and watermelons at Costco,Go to the other store to buy your preferred brand,Shop at your usual store,Continue buying the high-quality steak at $20 per pound,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,3,3,4,3,4
R_3SuC2mJmk3U52fT,18 - 24,2,64309,Suburban,Unemployed,High school diploma or GED,No,More than once a week,"Target,Whole Foods",Buy both items at Costco to save money,Go to the other store to buy your preferred brand,Drive the extra 20 minutes to save $10,Continue buying the high-quality steak at $20 per pound,2,1,3,4,5,2,1,3,4,5,3,1,4,5,2,2,1,3,4,5,2,2,NA,2,2
R_7agJ88SsmB9L9NF,25 - 34,2,78988,Suburban,Employed full-time,"Some college, no degree",Shared responsibility,Once a week,"Walmart,Target,Trader Joe's,Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,1,4,5,2,3,4,3,1,2,5,1,2,3,5,4,3,1,2,4,5,5,5,2,1,2
R_53eDIkbH8nMt9gJ,18 - 24,4,71567,Urban/City,Employed part-time,Associate degree,Yes,Once every two weeks,"Walmart,Costco,Target,Trader Joe's,Pick 'n Save / Metro market",Buy both items at Costco to save money,Go to the other store to buy your preferred brand,Drive the extra 20 minutes to save $10,Switch to the lower-quality steak to save money,1,4,5,2,3,4,3,1,2,5,1,3,2,4,5,2,1,5,3,4,4,3,3,1,4
R_5kvS5gB9Iiniaxe,25 - 34,1,50034,Urban/City,Unemployed,Master's degree or above,Yes,Once a week,"Target,Trader Joe's,Other, please specify:",Buy both items at Walmart for convenience,Buy a different brand at your usual store,Drive the extra 20 minutes to save $10,Continue buying the high-quality steak at $20 per pound,1,5,4,3,2,5,3,1,4,2,1,2,3,5,4,3,1,5,2,4,5,4,3,3,4
R_6lwC53wnzjAEcXT,35 - 44,5 or more,25000,Urban/City,Unemployed,High school diploma or GED,No,Less than once a month,"Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,1,4,5,2,3,5,1,2,3,4,1,5,2,3,4,3,1,4,2,5,5,5,2,2,2
R_7MQGWZIgBk4gWMj,45 - 54,2,55261,Urban/City,Employed full-time,"Some college, no degree",Yes,More than once a week,"Walmart,Other, please specify:",Buy both items at Costco to save money,Buy a different brand at your usual store,Drive the extra 20 minutes to save $10,Switch to the lower-quality steak to save money,2,4,1,3,5,3,2,1,5,4,1,2,4,3,5,2,1,4,5,3,5,3,4,3,2
R_5g9JQ0exL5IEv3X,25 - 34,3,100000,Suburban,Employed full-time,Master's degree or above,Yes,Once every two weeks,"Walmart,Costco",Buy both items at Costco to save money,Buy a different brand at your usual store,Shop at your usual store,Switch to the lower-quality steak to save money,1,3,5,2,4,2,3,1,5,4,1,3,2,4,5,2,1,4,5,3,5,3,4,4,3
